agrupacion_id,eleccion_id,nombre,agrupacioninterna
0223,2,Nueva Alternativa Carmeña                                                                           ,
0226,2,Compromiso Pringles                                                                                 ,
0504,3,COMPROMISO FEDERAL                                                                                  ,
0505,3,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ,
0507,3,UNIDOS POR LA LIBERTAD Y EL TRABAJO                                                                 ,
0510,3,FRENTE RENOVADOR                                                                                    ,
0511,3,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS)                                                       ,
0513,3,UNION CON FE                                                                                        ,
0514,3,FRENTE PROGRESISTA CIVICO Y SOCIAL                                                                  ,
0501,3,FRENTE PARA LA VICTORIA                                                                             ,
0000,3,"",
0542,3,ALTERNATIVA POPULAR                                                                                 ,
0543,3,FRENTE ACUERDO CIVICO Y SOCIAL                                                                      ,
0060,3,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        ,
0064,3,PRO PROPUESTA REPUBLICANA                                                                           ,
0181,3,FUERZA REPUBLICANA                                                                                  ,
0185,3,VOS CAMBIO Y ACCION                                                                                 ,
0186,3,LABORISTA DE LA INDEPENDENCIA                                                                       ,
0188,3,CAMBIO POPULAR TUCUMANO                                                                             ,
0272,3,GENTE EN ACCION                                                                                     ,
0276,3,MOVIMIENTO AVANZADA SOCIALISTA                                                                      ,
0061,3,IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ,
0164,3,MOVIMIENTO DE INTEGRACION LATINOAMERICANA EXP.SOC                                                   ,
0548,3,FUERZA CIVICA RIOJANA                                                                               ,
0549,3,FRENTE NUEVO PACTO FEDERAL                                                                          ,
0003,3,UNION CIVICA RADICAL                                                                                ,
0008,3,PARTIDO FEDERAL                                                                                     ,
0038,3,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES (MST)                                                     ,
0527,3,UNION PD-PRO                                                                                        ,
0528,3,FRENTE AMPLIO PROGRESISTA-COALICION CIVICA-ARI                                                      ,
0150,3,DEMOCRATA INDEPENDIENTE                                                                             ,
0159,3,FRENTE MERCEDINOS POR EL CAMBIO                                                                     ,
0160,3,PROYECTO CLASE MEDIA                                                                                ,
0161,3,PARTIDO NUEVA GENERACION                                                                            ,
0324,3,PARTIDO FE                                                                                          ,
0540,3,FRENTE POPULAR                                                                                      ,
0541,3,FRENTE CIVICO POR SANTIAGO                                                                          ,
0550,3,FRENTE POR LA LIBERTAD                                                                              ,
0068,3,NUEVA IZQUIERDA                                                                                     ,
0187,3,AUTODETERMINACION Y LIBERTAD                                                                        ,
0234,3,MOVIMIENTO AL SOCIALISMO                                                                            ,
0262,3,EL MOVIMIENTO                                                                                       ,
0325,3,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION                                                       ,
0502,3,UNEN                                                                                                ,
0503,3,UNION PRO                                                                                           ,
0506,3,CAMINO POPULAR                                                                                      ,
0002,3,PARTIDO JUSTICIALISTA                                                                               ,
0158,3,MOVIMIENTO POPULAR FUEGUINO                                                                         ,
0174,3,PARTIDO POPULAR                                                                                     ,
0199,3,ESPACIO DEMOCRATICO PARA LA VICTORIA                                                                ,
0544,3,UNION FEDERAL                                                                                       ,
0518,3,FRENTE CIVICO PRO CHACO                                                                             ,
0519,3,UNION POR CHACO                                                                                     ,
0014,3,PARTIDO OBRERO                                                                                      ,
0179,3,PARTIDO CIUDADANOS A GOBERNAR                                                                       ,
0182,3,PROYECTO SUR                                                                                        ,
0218,3,FRENTE GRANDE                                                                                       ,
0162,3,PARTIDO MOVIMIENTO VECINAL INDEPENDI                                                                ,
0050,3,PARTIDO SOCIALISTA                                                                                  ,
0529,3,FRENTE RENOVADOR DE LA CONCORDIA                                                                    ,
0531,3,FRENTE UNIDOS                                                                                       ,
0023,3,UNION POPULAR                                                                                       ,
0040,3,MOVIMIENTO LIBRES DEL SUR                                                                           ,
0153,3,MOVIMIENTO POPULAR NEUQUINO                                                                         ,
0166,3,UNION DE LOS NEUQUINOS                                                                              ,
0183,3,PARTIDO MOVIMIENTO AL SOCIALISMO                                                                    ,
0532,3,COMPROMISO CIVICO NEUQUINO                                                                          ,
0533,3,FRENTE PROGRESISTA SUR                                                                              ,
0069,3,GEN                                                                                                 ,
0201,3,MOVIMIENTO SOLIDARIO POPULAR                                                                        ,
0364,3,PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES                                          ,
0508,3,FRENTE CIVICO Y SOCIAL 2013                                                                         ,
0509,3,FRENTE TERCERA POSICION (F3P) UNIDAD CATAMARQUEÑA                                                   ,
0154,3,PARTIDO PROVINCIAL RIONEGRINO                                                                       ,
0534,3,ALIANZA FRENTE PROGRESISTA                                                                          ,
0047,3,COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA (ARI)                                  ,
0063,3,ES POSIBLE                                                                                          ,
0191,3,VECINALISMO INDEPENDIENTE                                                                           ,
0217,3,ENCUENTRO VECINAL CORDOBA                                                                           ,
0512,3,UNION POR CORDOBA                                                                                   ,
0545,3,ALIANZA UNION POR ENTRE RIOS                                                                        ,
0546,3,ALIANZA FRENTE AMPLIO PROGRESISTA                                                                   ,
0054,3,PARTIDO DE LA VICTORIA                                                                              ,
0155,3,PARTIDO RENOVADOR DE SALTA                                                                          ,
0200,3,MEMORIA Y MOVILIZACION SOCIAL                                                                       ,
0203,3,SALTA SOMOS TODOS                                                                                   ,
0216,3,FRENTE PLURAL                                                                                       ,
0535,3,FRENTE POPULAR SALTEÑO                                                                              ,
0536,3,UNION POR LA REPUBLICA - FRENTE POR LA JUSTICIA                                                     ,
0156,3,CRUZADA RENOVADORA                                                                                  ,
0168,3,PARTIDO DIGNIDAD CIUDADANA                                                                          ,
0537,3,FRENTE DEL PUEBLO                                                                                   ,
0538,3,UNION PARA VIVIR MEJOR                                                                              ,
0180,3,SANTAFESINO CIEN POR CIENTO                                                                         ,
0539,3,"UNITE! CON FE POR LA CULTURA, EDUCACION Y TRABAJO                                                   ",
0547,3,UNION PRO SANTA FE FEDERAL                                                                          ,
0515,3,ALIANZA CORRENTINA PANU-PA                                                                          ,
0516,3,CAMBIO POPULAR                                                                                      ,
0517,3,ENCUENTRO POR CORRIENTES                                                                            ,
0151,3,PARTIDO INDEPENDIENTE DEL CHUBUT                                                                    ,
0152,3,MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              ,
0157,3,PARTIDO DE ACCION CHUBUTENSE                                                                        ,
0520,3,ALIANZA REPUBLICANA                                                                                 ,
0521,3,FRENTE AMPLIO FORMOSEÑO                                                                             ,
0208,3,PARTIDO POR UN PUEBLO UNIDO                                                                         ,
0522,3,FRENTE JUJEÑO                                                                                       ,
0523,3,FRENTE UNION PRO                                                                                    ,
0524,3,FRENTE PRIMERO JUJUY                                                                                ,
0022,3,PARTIDO HUMANISTA                                                                                   ,
0184,3,PUEBLO NUEVO                                                                                        ,
0190,3,PARTIDO DE LOS TRABAJADORES SOCIALISTAS                                                             ,
0525,3,FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM                                                            ,
0526,3,FRENTE PROPUESTA FEDERAL                                                                            ,
0339,3,COMPROMISO CON VOS (C.C.V)                                                                          ,
