distrito_id,seccion_id,circuito_id,nombre,municipio_id,eleccionorigen_id
2,27,0248A,0248A,,1
2,27,0248D,0248D,,1
2,82,00687,00687,,1
2,66,00553,00553,,1
2,102,00861,00861,,1
2,102,00862,00862,,1
10,1,00004,00004,,1
10,1,00005,00005,,1
9,1,0005A,0005A,,1
12,2,00003,00003,,1
12,3,00004,00004,,1
1,2,00025,00025,,1
2,69,00580,00580,,1
2,69,00581,00581,,1
1,2,00026,00026,,1
12,17,0055D,0055D,,1
12,17,0055E,0055E,,1
12,17,0056A,0056A,,1
12,17,0056B,0056B,,1
12,17,0056C,0056C,,1
12,17,0057A,0057A,,1
12,17,0057B,0057B,,1
12,17,0058A,0058A,,1
12,17,0058B,0058B,,1
18,4,00051,00051,,1
17,7,0034B,0034B,,1
17,7,0035A,0035A,,1
2,115,00958,00958,,1
2,115,00959,00959,,1
2,115,0959A,0959A,,1
2,115,00960,00960,,1
2,115,00961,00961,,1
17,5,0022A,0022A,,1
3,11,00098,00098,,1
3,12,00099,00099,,1
13,14,00101,00101,,1
2,74,00619,00619,,1
2,73,00616,00616,,1
2,74,0622A,0622A,,1
13,18,00132,00132,,1
14,1,00006,00006,,1
2,73,00617,00617,,1
2,74,00622,00622,,1
2,72,00609,00609,,1
14,1,0008C,0008C,,1
14,13,0068D,0068D,,1
15,8,0031B,0031B,,1
15,8,00032,00032,,1
4,1,0007B,0007B,,1
2,68,00568,00568,,1
4,1,0006A,0006A,,1
4,1,0006B,0006B,,1
4,1,0006C,0006C,,1
4,1,0006D,0006D,,1
2,65,00539,00539,,1
2,65,00540,00540,,1
4,1,0005G,0005G,,1
4,1,00006,00006,,1
2,63,00516,00516,,1
2,63,0508D,0508D,,1
2,63,0509A,0509A,,1
2,63,00508,00508,,1
2,67,00567,00567,,1
2,63,00484,00484,,1
2,5,00049,00049,,1
2,5,00050,00050,,1
2,5,00051,00051,,1
2,5,00052,00052,,1
19,4,00046,00046,,1
2,5,00053,00053,,1
2,5,00054,00054,,1
2,5,00055,00055,,1
19,6,07003,07003,,1
19,6,07004,07004,,1
2,5,00056,00056,,1
2,5,00057,00057,,1
18,2,00035,00035,,1
17,17,0077B,0077B,,1
19,3,03007,03007,,1
20,7,00021,00021,,1
18,6,00060,00060,,1
18,6,00061,00061,,1
19,3,03016,03016,,1
20,5,00014,00014,,1
19,9,00105,00105,,1
19,1,01010,01010,,1
21,2,00367,00367,,1
21,2,00376,00376,,1
19,1,01019,01019,,1
21,3,00124,00124,,1
21,1,00405,00405,,1
21,4,0378D,0378D,,1
21,4,0379A,0379A,,1
4,26,00391,00391,,1
21,3,00136,00136,,1
21,3,0136A,0136A,,1
21,2,00370,00370,,1
21,3,00150,00150,,1
21,3,00152,00152,,1
21,7,0224D,0224D,,1
21,7,00221,00221,,1
21,7,00234,00234,,1
21,6,00387,00387,,1
21,7,0225A,0225A,,1
21,7,00226,00226,,1
21,15,00351,00351,,1
21,15,0351A,0351A,,1
21,14,00358,00358,,1
21,15,00352,00352,,1
21,15,00355,00355,,1
21,14,0359A,0359A,,1
21,15,00343,00343,,1
21,15,0362B,0362B,,1
21,15,0362D,0362D,,1
21,14,00354,00354,,1
21,15,00356,00356,,1
21,15,00357,00357,,1
21,15,00360,00360,,1
21,18,00079,00079,,1
21,15,0362A,0362A,,1
21,16,00185,00185,,1
21,16,00191,00191,,1
21,16,00205,00205,,1
21,17,00274,00274,,1
21,17,00275,00275,,1
21,20,00416,00416,,1
21,18,00080,00080,,1
21,18,00081,00081,,1
21,20,00421,00421,,1
21,20,00422,00422,,1
21,20,0417B,0417B,,1
21,21,00156,00156,,1
21,21,00158,00158,,1
21,16,00178,00178,,1
22,1,00003,00003,,1
21,16,00183,00183,,1
21,19,00210,00210,,1
21,22,00251,00251,,1
21,20,00423,00423,,1
21,22,00254,00254,,1
21,17,00277,00277,,1
21,22,00257,00257,,1
22,1,0007B,0007B,,1
22,1,00008,00008,,1
21,21,00161,00161,,1
21,19,00213,00213,,1
21,16,00179,00179,,1
21,13,00336,00336,,1
21,13,00330,00330,,1
21,13,00331,00331,,1
21,13,00335,00335,,1
21,13,00319,00319,,1
21,9,00004,00004,,1
21,13,00303,00303,,1
21,11,00052,00052,,1
21,4,0378C,0378C,,1
21,3,00146,00146,,1
21,3,00148,00148,,1
21,3,00149,00149,,1
21,2,0375A,0375A,,1
21,21,00159,00159,,1
22,1,00010,00010,,1
21,19,00215,00215,,1
21,19,00216,00216,,1
22,11,00100,00100,,1
22,11,00101,00101,,1
22,13,00110,00110,,1
21,21,00165,00165,,1
22,16,00134,00134,,1
22,1,00006,00006,,1
22,1,00007,00007,,1
22,7,00069,00069,,1
22,8,00070,00070,,1
22,22,00193,00193,,1
22,8,00073,00073,,1
22,9,00074,00074,,1
22,24,00201,00201,,1
22,17,00146,00146,,1
22,17,00147,00147,,1
22,9,00077,00077,,1
2,7,00093,00093,,1
2,7,00088,00088,,1
3,10,00088,00088,,1
3,10,00089,00089,,1
3,11,00090,00090,,1
3,11,00091,00091,,1
3,11,00092,00092,,1
3,11,00093,00093,,1
4,1,0009D,0009D,,1
4,1,0009E,0009E,,1
4,1,0013K,0013K,,1
4,1,0013L,0013L,,1
4,1,0013M,0013M,,1
4,1,0013N,0013N,,1
2,7,00089,00089,,1
4,3,00035,00035,,1
4,3,0028A,0028A,,1
4,12,00150,00150,,1
4,18,00265,00265,,1
4,18,0265A,0265A,,1
4,26,00381,00381,,1
4,26,00382,00382,,1
4,26,00384,00384,,1
4,21,00316,00316,,1
5,9,00056,00056,,1
5,7,00044,00044,,1
8,2,00038,00038,,1
8,2,00039,00039,,1
2,7,00090,00090,,1
8,7,00135,00135,,1
8,7,00136,00136,,1
9,3,0029A,0029A,,1
9,3,00030,00030,,1
12,1,0001I,0001I,,1
13,8,0066B,0066B,,1
13,8,00067,00067,,1
14,1,0003A,0003A,,1
14,12,00067,00067,,1
15,1,00073,00073,,1
14,4,00025,00025,,1
14,4,00028,00028,,1
2,7,00092,00092,,1
17,1,0002E,0002E,,1
15,1,0001B,0001B,,1
17,1,0006A,0006A,,1
17,18,0081A,0081A,,1
17,18,0082B,0082B,,1
17,18,0083A,0083A,,1
17,18,0083B,0083B,,1
17,19,0084A,0084A,,1
17,19,0085A,0085A,,1
16,12,00058,00058,,1
18,15,00101,00101,,1
19,1,01009,01009,,1
12,17,00059,00059,,1
12,18,00060,00060,,1
1,2,00027,00027,,1
2,63,00476,00476,,1
19,1,01018,01018,,1
14,1,0008A,0008A,,1
12,3,0005A,0005A,,1
12,3,0005B,0005B,,1
12,3,0006A,0006A,,1
12,3,0008C,0008C,,1
2,63,00465,00465,,1
4,6,00074,00074,,1
4,6,00087,00087,,1
2,63,0496A,0496A,,1
4,8,00118,00118,,1
4,9,00123,00123,,1
4,9,00125,00125,,1
4,1,00005,00005,,1
2,63,00481,00481,,1
2,63,00482,00482,,1
2,4,00031,00031,,1
4,1,0005C,0005C,,1
4,1,0005D,0005D,,1
4,1,0007D,0007D,,1
4,1,0007E,0007E,,1
21,7,0232A,0232A,,1
21,7,00233,00233,,1
23,1,00011,00011,,1
22,8,00071,00071,,1
21,20,00424,00424,,1
24,1,00004,00004,,1
1,2,00029,00029,,1
1,4,00045,00045,,1
1,4,00046,00046,,1
22,21,00178,00178,,1
22,21,00179,00179,,1
21,16,00192,00192,,1
21,16,00193,00193,,1
21,16,00194,00194,,1
4,23,0337A,0337A,,1
4,23,00338,00338,,1
4,23,00339,00339,,1
4,23,00343,00343,,1
4,22,00335,00335,,1
19,8,00093,00093,,1
19,8,00094,00094,,1
19,3,03406,03406,,1
19,3,03407,03407,,1
19,4,00042,00042,,1
21,19,0210A,0210A,,1
21,19,00211,00211,,1
21,19,00212,00212,,1
21,19,0212A,0212A,,1
2,103,00866,00866,,1
2,107,00911,00911,,1
10,5,00037,00037,,1
2,13,00131,00131,,1
2,13,0131A,0131A,,1
2,13,00132,00132,,1
2,13,00133,00133,,1
17,19,0088A,0088A,,1
17,9,0048C,0048C,,1
17,9,0048D,0048D,,1
17,4,0016B,0016B,,1
17,1,0002J,0002J,,1
17,1,0002Q,0002Q,,1
2,111,00934,00934,,1
2,111,00935,00935,,1
2,111,00936,00936,,1
2,111,00937,00937,,1
2,106,00888,00888,,1
2,85,00739,00739,,1
2,85,00740,00740,,1
2,71,00601,00601,,1
18,1,00023,00023,,1
2,14,00141,00141,,1
2,14,00142,00142,,1
2,14,00143,00143,,1
2,105,00881,00881,,1
2,102,0862A,0862A,,1
2,102,0863A,0863A,,1
2,102,00864,00864,,1
2,82,00688,00688,,1
2,82,00689,00689,,1
1,3,00030,00030,,1
2,46,0338A,0338A,,1
2,46,0338B,0338B,,1
2,23,00187,00187,,1
19,7,00086,00086,,1
19,7,00087,00087,,1
19,8,00088,00088,,1
19,8,00089,00089,,1
19,8,00090,00090,,1
19,8,00091,00091,,1
19,8,00092,00092,,1
1,3,00031,00031,,1
2,48,00348,00348,,1
2,7,00077,00077,,1
2,7,00078,00078,,1
2,113,0536A,0536A,,1
2,115,0961C,0961C,,1
2,115,0961D,0961D,,1
2,116,00951,00951,,1
1,3,00032,00032,,1
1,3,00033,00033,,1
1,3,00034,00034,,1
1,3,00035,00035,,1
1,3,00036,00036,,1
1,3,00037,00037,,1
4,3,00029,00029,,1
4,3,00030,00030,,1
1,3,00038,00038,,1
1,3,00039,00039,,1
1,3,00042,00042,,1
1,4,00043,00043,,1
4,3,00028,00028,,1
1,4,00044,00044,,1
1,4,00047,00047,,1
4,1,0012B,0012B,,1
4,1,0012C,0012C,,1
2,92,00787,00787,,1
4,1,00012,00012,,1
4,1,0012A,0012A,,1
4,1,0011J,0011J,,1
4,1,0011K,0011K,,1
2,92,0783A,0783A,,1
2,91,00781,00781,,1
2,91,00782,00782,,1
4,1,0011I,0011I,,1
4,1,0011D,0011D,,1
4,1,0011E,0011E,,1
4,1,0011G,0011G,,1
17,5,0024B,0024B,,1
17,5,0024C,0024C,,1
17,5,0024D,0024D,,1
2,36,0287B,0287B,,1
2,87,00752,00752,,1
2,87,00753,00753,,1
17,5,0024E,0024E,,1
17,5,0024F,0024F,,1
2,84,0711E,0711E,,1
2,84,00725,00725,,1
4,1,0011B,0011B,,1
2,83,00709,00709,,1
22,18,0158A,0158A,,1
22,18,00159,00159,,1
21,21,00166,00166,,1
21,21,00167,00167,,1
21,21,00168,00168,,1
23,1,00005,00005,,1
23,1,0007A,0007A,,1
22,2,00027,00027,,1
22,3,00028,00028,,1
22,25,00210,00210,,1
22,6,00047,00047,,1
22,6,00048,00048,,1
22,27,00223,00223,,1
22,27,00224,00224,,1
21,22,00268,00268,,1
23,1,00012,00012,,1
22,27,00226,00226,,1
23,1,00001,00001,,1
22,6,00049,00049,,1
23,1,0008A,0008A,,1
23,1,0001A,0001A,,1
22,5,00039,00039,,1
22,5,00040,00040,,1
24,1,00006,00006,,1
24,2,00008,00008,,1
22,6,00058,00058,,1
23,1,0015A,0015A,,1
23,2,00029,00029,,1
23,1,0015B,0015B,,1
23,1,0010A,0010A,,1
23,1,00013,00013,,1
22,22,00192,00192,,1
23,1,0018A,0018A,,1
23,1,00014,00014,,1
23,1,0018B,0018B,,1
23,1,00016,00016,,1
23,1,0016A,0016A,,1
23,1,00017,00017,,1
23,1,0014A,0014A,,1
23,4,00054,00054,,1
23,1,00018,00018,,1
23,2,00030,00030,,1
23,3,00035,00035,,1
23,1,00015,00015,,1
23,5,00061,00061,,1
23,5,0061A,0061A,,1
23,7,00082,00082,,1
23,9,00097,00097,,1
4,1,0010G,0010G,,1
4,1,0010I,0010I,,1
17,5,0025E,0025E,,1
15,2,00011,00011,,1
15,2,0011A,0011A,,1
17,7,0037A,0037A,,1
14,7,00036,00036,,1
17,7,0038A,0038A,,1
16,11,00054,00054,,1
17,7,0038B,0038B,,1
15,1,0005A,0005A,,1
17,7,0039A,0039A,,1
15,1,0007C,0007C,,1
2,72,00610,00610,,1
16,7,00032,00032,,1
16,7,00033,00033,,1
16,7,00034,00034,,1
15,16,0060A,0060A,,1
17,4,0018A,0018A,,1
4,1,0013O,0013O,,1
4,1,00014,00014,,1
4,12,00151,00151,,1
17,5,0022B,0022B,,1
4,18,0265C,0265C,,1
4,18,00266,00266,,1
4,19,00268,00268,,1
